"Date","Google","Baidu","Yahoo!","bing","YANDEX","DuckDuckGo","YANDEX RU","Shenma","Naver","Sogou","Ecosia","Haosou","Seznam","Other"
2017-02,95.22,1.37,1.29,1.35,0.19,0.06,0.11,0.22,0.07,0.07,0,0.01,0.01,0.03
2017-03,95.29,1.38,1.23,1.37,0.19,0.06,0.1,0.21,0.09,0.05,0,0,0.01,0.03
2017-04,95.34,1.44,1.02,1.42,0.19,0.06,0.1,0.24,0.1,0.04,0,0,0.01,0.03
2017-05,94.8,1.89,1.02,1.47,0.19,0.06,0.1,0.25,0.12,0.04,0,0,0.01,0.03
2017-06,95.05,1.88,1.03,1.26,0.21,0.07,0.11,0.14,0.14,0.05,0,0.01,0.01,0.04
2017-07,95.35,1.85,1.07,0.8,0.27,0.07,0.11,0.23,0.11,0.08,0,0.01,0.01,0.02
2017-08,95.07,1.97,1.12,0.64,0.34,0.09,0.12,0.36,0.12,0.1,0,0.02,0.01,0.05
2017-09,95.33,1.87,1.17,0.68,0.25,0.1,0.14,0.16,0.12,0.09,0,0.02,0.01,0.07
2017-10,94.73,2.57,1.11,0.61,0.27,0.11,0.18,0.12,0.14,0.11,0,0.02,0.01,0.03
2017-11,95.35,2.31,0.73,0.57,0.22,0.11,0.22,0.12,0.19,0.11,0,0.03,0.02,0.02
2017-12,94.96,2.24,0.68,0.54,0.23,0.12,0.24,0.6,0.19,0.12,0,0.04,0.01,0.03
2018-01,94.94,1.9,0.88,0.47,0.21,0.11,0.26,0.8,0.2,0.15,0,0.04,0.01,0.03
2018-02,94.67,1.78,0.97,0.45,0.21,0.11,0.27,1.1,0.23,0.14,0,0.04,0.02,0.02
2018-03,94.84,2.07,1.06,0.58,0.16,0.14,0.31,0.39,0.23,0.12,0,0.04,0.01,0.02
2018-04,93.81,2.9,1.04,0.79,0.14,0.16,0.32,0.43,0.19,0.13,0,0.04,0.02,0.02
2018-05,93,3.08,1.07,0.72,0.16,0.17,0.34,1.02,0.19,0.16,0,0.04,0.02,0.03
2018-06,93.39,2.66,1.07,0.76,0.17,0.17,0.32,0.97,0.18,0.19,0,0.07,0.02,0.02
2018-07,93.59,2.56,1.37,0.7,0.2,0.17,0.32,0.66,0.17,0.14,0,0.08,0.02,0.02
2018-08,94,1.77,1.83,0.74,0.22,0.18,0.32,0.53,0.16,0.17,0,0.06,0.02,0.02
2018-09,94.65,1.04,1.92,0.81,0.29,0.22,0.33,0.31,0.21,0.14,0,0.04,0.02,0.02
2018-10,94.79,1.03,1.81,0.83,0.28,0.22,0.34,0.4,0.13,0.12,0,0.03,0.01,0.02
2018-11,93.6,1.46,1.93,1.19,0.33,0.29,0.39,0.45,0.15,0.13,0,0.04,0.01,0.02
2018-12,94.26,1.31,1.42,1.17,0.47,0.39,0.34,0.38,0.11,0.09,0,0.04,0.01,0.02
2019-01,95.19,1.16,0.98,1.1,0.33,0.35,0.32,0.33,0.11,0.08,0,0.02,0.01,0.02
2019-02,95.2,1.45,1.02,0.82,0.32,0.28,0.33,0.33,0.11,0.09,0,0.02,0.01,0.02
2019-03,95.29,1.19,0.99,0.74,0.62,0.25,0.34,0.37,0.09,0.08,0,0.02,0.01,0.02
2019-04,95.75,1.27,1.02,0.68,0.26,0.25,0.32,0.18,0.14,0.08,0,0.02,0.02,0.02
2019-05,95.63,1.19,1.11,0.7,0.3,0.28,0.33,0.18,0.15,0.08,0,0.01,0.02,0.02
2019-06,95.58,1.32,1.04,0.7,0.3,0.29,0.36,0.15,0.15,0.06,0,0.01,0.02,0.02
2019-07,94.53,1.53,1.24,1.04,0.35,0.5,0.41,0.12,0.13,0.07,0.02,0.01,0.02,0.02
2019-08,94.72,1.39,1.17,1.08,0.36,0.5,0.34,0.1,0.14,0.08,0.07,0.01,0.02,0.02
2019-09,95.86,1.11,0.92,0.61,0.4,0.31,0.29,0.15,0.13,0.08,0.09,0.01,0.01,0.02
2019-10,95.69,1.11,0.9,0.88,0.35,0.3,0.34,0.17,0.07,0.08,0.08,0.01,0.01,0.02
2019-11,95.79,1.03,0.88,0.53,0.6,0.3,0.41,0.16,0.09,0.08,0.08,0.01,0.01,0.02
2019-12,95.58,1.26,0.89,0.53,0.49,0.33,0.43,0.17,0.11,0.1,0.08,0.01,0.01,0.02
2020-01,95.65,1.36,0.9,0.51,0.37,0.33,0.43,0.13,0.07,0.11,0.08,0.01,0.01,0.03
2020-02,95.06,1.89,0.88,0.46,0.4,0.32,0.42,0.16,0.15,0.14,0.08,0.02,0.01,0.03
2020-03,95.14,1.72,0.85,0.45,0.47,0.3,0.39,0.14,0.28,0.12,0.07,0.02,0.02,0.03
2020-04,95.62,1.29,0.93,0.49,0.46,0.33,0.4,0.09,0.13,0.11,0.08,0.02,0.02,0.03
2020-05,95.31,1.4,0.93,0.47,0.66,0.34,0.39,0.06,0.15,0.13,0.08,0.02,0.02,0.03
2020-06,95.01,1.22,0.9,0.53,1.11,0.38,0.36,0.06,0.16,0.12,0.07,0.02,0.03,0.02
2020-07,95.37,1.09,0.86,0.51,1,0.39,0.33,0.06,0.11,0.12,0.07,0.03,0.03,0.02
2020-08,95.29,1.21,0.89,0.49,0.9,0.42,0.31,0.05,0.19,0.11,0.07,0.02,0.03,0.03
2020-09,95.4,1.48,0.85,0.46,0.6,0.39,0.32,0.05,0.2,0.11,0.07,0.02,0.02,0.03
2020-10,95.68,1.42,0.79,0.43,0.51,0.38,0.33,0.07,0.15,0.1,0.07,0.02,0.02,0.03
2020-11,95.23,1.53,0.84,0.47,0.65,0.52,0.34,0.06,0.15,0.07,0.08,0.02,0.01,0.03
2020-12,94.55,1.81,0.76,0.44,1.16,0.47,0.37,0.05,0.19,0.05,0.07,0.02,0.01,0.03
2021-01,95.06,1.48,0.78,0.43,0.98,0.52,0.37,0.04,0.17,0.05,0.07,0.02,0.01,0.03
2021-02,95.03,1.8,0.8,0.42,0.73,0.48,0.38,0.04,0.13,0.05,0.07,0.02,0.02,0.03
2021-03,95.23,1.74,0.82,0.41,0.59,0.45,0.38,0.04,0.14,0.05,0.07,0.02,0.02,0.03
2021-04,95.01,1.95,0.85,0.41,0.62,0.45,0.35,0.04,0.12,0.06,0.07,0.02,0.02,0.03
2021-05,94.85,1.95,0.86,0.42,0.74,0.46,0.35,0.04,0.14,0.05,0.07,0.02,0.02,0.03
2021-06,95.08,1.69,0.88,0.44,0.81,0.47,0.27,0.03,0.12,0.05,0.07,0.01,0.03,0.05
2021-07,94.51,1.98,0.84,0.49,1.29,0.47,0,0.03,0.16,0.04,0.07,0.01,0.03,0.07
2021-08,94.88,1.79,0.83,0.51,1.11,0.47,0,0.04,0.12,0.04,0.07,0.01,0.03,0.09
2021-09,94.79,2.22,0.83,0.5,0.81,0.45,0,0.05,0.11,0.03,0.07,0.01,0.02,0.1
2021-10,94.43,2.6,0.84,0.48,0.84,0.43,0,0.05,0.11,0.03,0.07,0.01,0.01,0.1
2021-11,94.49,2.42,0.85,0.56,0.81,0.49,0,0.04,0.12,0.02,0.08,0.01,0.01,0.1
2021-12,94.88,1.8,0.86,0.59,0.97,0.5,0,0.03,0.13,0.02,0.08,0.01,0.02,0.12
2022-01,94.97,1.43,0.87,0.56,1.22,0.52,0,0.03,0.13,0.02,0.08,0.01,0.02,0.15
2022-02,95.06,1.47,0.87,0.56,1.09,0.51,0,0.03,0.12,0.02,0.07,0.01,0.02,0.18
